code,subject
NEOMB,https://data.cultureelerfgoed.nl/term/id/abr/77d4167b-9903-4abf-99ef-e28f92f618a7
MEVC,https://data.cultureelerfgoed.nl/term/id/abr/286fb38b-a368-45aa-97f3-8151d5bbc7f6
PALEOV,https://data.cultureelerfgoed.nl/term/id/abr/91330b66-c511-4800-be87-4e262b367e97
ME,https://data.cultureelerfgoed.nl/term/id/abr/4bf24a9f-1f7d-497e-96a4-d4a0f42d564b
MEVOL,https://data.cultureelerfgoed.nl/term/id/abr/e55b4154-f698-4a2d-a2a9-ea2e22547786
HIST,https://data.cultureelerfgoed.nl/term/id/abr/724277e3-6329-48f2-88d7-f84703fdd01e
IJZM,https://data.cultureelerfgoed.nl/term/id/abr/09a34060-105b-4e11-91a7-9d3484bc318d
ROM,https://data.cultureelerfgoed.nl/term/id/abr/5a2cef7f-1fc3-45a7-9271-cd634c748e49
BRONSM,https://data.cultureelerfgoed.nl/term/id/abr/405d4012-5845-4837-8051-2a559679c30e
NTL,https://data.cultureelerfgoed.nl/term/id/abr/ab1eb6b7-ecda-407a-a4ba-aaa3b6c66ec5
NEOM,https://data.cultureelerfgoed.nl/term/id/abr/f2309bfe-56df-4f2f-b390-49f78018abcd
PALEOL,https://data.cultureelerfgoed.nl/term/id/abr/a29e5aef-b5fc-4c3f-bfbd-85134fb1f525
BRONSL,https://data.cultureelerfgoed.nl/term/id/abr/98a715d8-cd51-4125-b1b3-4c8d489f85bf
NEOVA,https://data.cultureelerfgoed.nl/term/id/abr/94f541a6-6ec9-47b1-927c-9b09cf448cd7
BRONS,https://data.cultureelerfgoed.nl/term/id/abr/8072a357-c9aa-4cd8-b8ba-c06a8e176431
ROMVB,https://data.cultureelerfgoed.nl/term/id/abr/fcb22b7d-2857-43e9-9795-d78e712a69f1
BRONSMB,https://data.cultureelerfgoed.nl/term/id/abr/bb71782d-72ed-4f57-9736-424747358be5
NT,https://data.cultureelerfgoed.nl/term/id/abr/c6858173-5ca2-4319-b242-f828ec53d52d
NEOVB,https://data.cultureelerfgoed.nl/term/id/abr/4655bf21-5d2b-4267-a8ac-8f75c21bde8b
IJZL,https://data.cultureelerfgoed.nl/term/id/abr/e07ff2d6-1da1-4ede-9b4b-175ba229a683
PROTO,https://data.cultureelerfgoed.nl/term/id/abr/e285c2c1-d422-4a4c-8fcc-0d13f2e6efbf
NTV,https://data.cultureelerfgoed.nl/term/id/abr/482e37cc-61f5-4e21-a331-e342ffadeff6
MESOM,https://data.cultureelerfgoed.nl/term/id/abr/94bffc3e-84e1-4511-8a12-ebfaaa9b9eda
STEEN,https://data.cultureelerfgoed.nl/term/id/abr/d6b4b121-edd0-4792-b14b-5422b4210225
ROMV,https://data.cultureelerfgoed.nl/term/id/abr/2afb3dea-241c-47a7-9f5b-1ce0163a114d
PALEO,https://data.cultureelerfgoed.nl/term/id/abr/8d762bf7-bda3-4c07-b77f-5df51301ad3f
ROMVA,https://data.cultureelerfgoed.nl/term/id/abr/d08febfe-53a5-4053-a332-c4372b2bfe12
BRONSV,https://data.cultureelerfgoed.nl/term/id/abr/6264b6bd-899e-4c34-a88e-03a36e1d4008
IJZ,https://data.cultureelerfgoed.nl/term/id/abr/0e341d8a-d304-40fe-8dda-dd3845bb1f7f
ROMMB,https://data.cultureelerfgoed.nl/term/id/abr/d5c6eaee-a772-4c62-95fe-6a793765b93a
WO2,https://data.cultureelerfgoed.nl/term/id/abr/49e56f6e-7834-4225-ac0d-d80b3a67a7b8
PALEOLA,https://data.cultureelerfgoed.nl/term/id/abr/141b0f09-eaba-48a2-8963-bad3ac5146e3
MELA,https://data.cultureelerfgoed.nl/term/id/abr/f9d59f22-0ed5-435d-bd8c-e8c3b84875d5
